sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
JMSD-C-3D-BB-1_pressure,蕉门水道特大桥,JMSD-C-3D-BB-1,pressure,96.195,75.491,89.984,known_system_gap,0.2484,0.0,0.0,0.0
JMSD-C-3D-BB-1_temperature,蕉门水道特大桥,JMSD-C-3D-BB-1,temperature,96.195,75.491,89.984,known_system_gap,0.2484,0.0,0.0,0.0
JMSD-B-2L-BB-1_temperature,蕉门水道特大桥,JMSD-B-2L-BB-1,temperature,96.351,75.182,90.0,known_system_gap,0.2507,0.0,0.0,0.0
JMSD-B-2L-BB-1_pressure,蕉门水道特大桥,JMSD-B-2L-BB-1,pressure,96.351,75.182,90.0,known_system_gap,0.2507,0.0,0.0,0.0
JMSD-A-3L-BB-2_temperature,蕉门水道特大桥,JMSD-A-3L-BB-2,temperature,96.331,75.232,90.001,known_system_gap,0.2503,0.0,0.0,0.0
JMSD-A-3L-BB-2_pressure,蕉门水道特大桥,JMSD-A-3L-BB-2,pressure,96.331,75.232,90.001,known_system_gap,0.2503,0.0,0.0,0.0
JMSD-A-1L-BB-1_temperature,蕉门水道特大桥,JMSD-A-1L-BB-1,temperature,96.409,75.322,90.083,known_system_gap,0.2491,0.0,0.0,0.0
JMSD-A-1L-BB-1_pressure,蕉门水道特大桥,JMSD-A-1L-BB-1,pressure,96.409,75.322,90.083,known_system_gap,0.2491,0.0,0.0,0.0
JMSD-2-2D-QJ-1_yAxisAngle,蕉门水道特大桥,JMSD-2-2D-QJ-1,yAxisAngle,96.409,75.515,90.141,known_system_gap,0.2472,0.0,0.0,0.0
JMSD-2-2D-QJ-1_temperature,蕉门水道特大桥,JMSD-2-2D-QJ-1,temperature,96.409,75.515,90.141,known_system_gap,0.2472,0.0,0.0,0.0
JMSD-2-2D-QJ-1_xAxisAngle,蕉门水道特大桥,JMSD-2-2D-QJ-1,xAxisAngle,96.409,75.515,90.141,known_system_gap,0.2472,0.0,0.0,0.0
JMSD-A-3D-BB-1_pressure,蕉门水道特大桥,JMSD-A-3D-BB-1,pressure,96.507,75.32,90.151,known_system_gap,0.2486,0.0,0.0,0.0
JMSD-A-3D-BB-1_temperature,蕉门水道特大桥,JMSD-A-3D-BB-1,temperature,96.507,75.32,90.151,known_system_gap,0.2486,0.0,0.0,0.0
JMSD-1-1D-QJ-1_temperature,蕉门水道特大桥,JMSD-1-1D-QJ-1,temperature,96.507,75.585,90.23,known_system_gap,0.246,0.0,0.0,0.0
JMSD-1-1D-QJ-1_yAxisAngle,蕉门水道特大桥,JMSD-1-1D-QJ-1,yAxisAngle,96.507,75.585,90.23,known_system_gap,0.246,0.0,0.0,0.0
JMSD-1-1D-QJ-1_xAxisAngle,蕉门水道特大桥,JMSD-1-1D-QJ-1,xAxisAngle,96.507,75.585,90.23,known_system_gap,0.246,0.0,0.0,0.0
JMSD-A-2D-BB-2_pressure,蕉门水道特大桥,JMSD-A-2D-BB-2,pressure,96.644,75.288,90.237,known_system_gap,0.2483,0.0,0.0,0.0
JMSD-A-2D-BB-2_temperature,蕉门水道特大桥,JMSD-A-2D-BB-2,temperature,96.644,75.288,90.237,known_system_gap,0.2483,0.0,0.0,0.0
JMSD-B-1L-BB-1_pressure,蕉门水道特大桥,JMSD-B-1L-BB-1,pressure,96.741,75.306,90.311,known_system_gap,0.2476,0.0,0.0,0.0
JMSD-B-1L-BB-1_temperature,蕉门水道特大桥,JMSD-B-1L-BB-1,temperature,96.741,75.306,90.311,known_system_gap,0.2476,0.0,0.0,0.0
JMSD-C-2L-BB-1_pressure,蕉门水道特大桥,JMSD-C-2L-BB-1,pressure,96.683,75.547,90.342,known_system_gap,0.2456,0.0,0.0,0.0
JMSD-C-2L-BB-1_temperature,蕉门水道特大桥,JMSD-C-2L-BB-1,temperature,96.683,75.547,90.342,known_system_gap,0.2456,0.0,0.0,0.0
JMSD-D-1L-BB-1_pressure,蕉门水道特大桥,JMSD-D-1L-BB-1,pressure,96.975,75.666,90.583,known_system_gap,0.2431,0.0,0.0,0.0
JMSD-D-1L-BB-1_temperature,蕉门水道特大桥,JMSD-D-1L-BB-1,temperature,96.975,75.666,90.583,known_system_gap,0.2431,0.0,0.0,0.0
JMSD-C-1L-BB-1_temperature,蕉门水道特大桥,JMSD-C-1L-BB-1,temperature,97.19,75.593,90.711,known_system_gap,0.2429,0.0,0.0,0.0
JMSD-C-1L-BB-1_pressure,蕉门水道特大桥,JMSD-C-1L-BB-1,pressure,97.19,75.593,90.711,known_system_gap,0.2429,0.0,0.0,0.0
JMSD-D-2D-BB-2_pressure,蕉门水道特大桥,JMSD-D-2D-BB-2,pressure,97.21,75.748,90.771,known_system_gap,0.2413,0.0,0.0,0.0
JMSD-D-2D-BB-2_temperature,蕉门水道特大桥,JMSD-D-2D-BB-2,temperature,97.21,75.748,90.771,known_system_gap,0.2413,0.0,0.0,0.0
JMSD-C-2D-BB-2_pressure,蕉门水道特大桥,JMSD-C-2D-BB-2,pressure,97.346,75.652,90.838,known_system_gap,0.2417,0.0,0.0,0.0
JMSD-C-2D-BB-2_temperature,蕉门水道特大桥,JMSD-C-2D-BB-2,temperature,97.346,75.652,90.838,known_system_gap,0.2417,0.0,0.0,0.0
